Taxon Name	Available at Nursery?	Nurseries	Percent of Nurseries with this Taxon
Stipa occidentalis var. minor sensu	False		0.0
Acer negundo var. interius	False		0.0
Acer interius	False		0.0
Acer negundo ssp. interius	False		0.0
Negundo aceroides ssp. interius	False		0.0
Negundo interius	False		0.0
Acer negundo var. negundo	False		0.0
Acer negundo var. variegatum	False		0.0
Negundo aceroides	False		0.0
Negundo negundo nom. inval.	False		0.0
Acer negundo var. violaceum	False		0.0
Negundo aceroides ssp. violaceum	False		0.0
Achnatherum occidentale	False		0.0
Achnatherum occidentale ssp. californicum	False		0.0
Achnatherum nelsonii ssp. longiaristatum	False		0.0
Stipa californica	False		0.0
Stipa nelsonii var. longiaristata	False		0.0
Stipa occidentalis var. californica	False		0.0
Achnatherum occidentale ssp. pubescens	False		0.0
Stipa elmeri	False		0.0
Stipa occidentalis var. pubescens	False		0.0
Aconitum	False		0.0
Acorus	False		0.0
Acer platanoides	False		0.0
Acer platanoides var. schwedleri	False		0.0
Achillea ptarmica	False		0.0
Acroptilon repens	False		0.0
Centaurea picris	False		0.0
Centaurea repens	False		0.0
Achnatherum richardsonii	False		0.0
Stipa richardsonii	False		0.0
Acroptilon	False		0.0
Actaea rubra	True	InsidePassageSeeds, 	7.69
Actaea rubra ssp. arguta	False		0.0
Actaea arguta	False		0.0
Actaea arguta var. viridiflora	False		0.0
Actaea rubra var. arguta	False		0.0
Actaea spicata var. arguta	False		0.0
Acer saccharinum	False		0.0
Acer dasycarpum	False		0.0
Acer saccharinum var. laciniatum	False		0.0
Acer saccharinum var. wieri	False		0.0
Argentacer saccharinum	False		0.0
Actaea	True	InsidePassageSeeds, 	7.69
Achnatherum thurberianum	True	LandHSeeds, 	7.69
Stipa thurberiana	False		0.0
Achlys triphylla	True	FiretrailNursery, FourthCornerNursery, InsidePassageSeeds, OxbowFarmandConservationCenter, 	30.77
Achlys triphylla ssp. triphylla	False		0.0
Adonis aestivalis	False		0.0
Adonis aestivalis var. citrina	False		0.0
Adiantum aleuticum	True	HimaNursery, OxbowFarmandConservationCenter, 	15.38
Adiantum pedatum ssp. aleuticum	False		0.0
Adiantum pedatum ssp. calderi	False		0.0
Adiantum pedatum ssp. subpumilum	False		0.0
Adiantum pedatum var. aleuticum	False		0.0
Adiantum pedatum var. subpumilum	False		0.0
Adonis annua	False		0.0
Adonis autumnalis	False		0.0
Adenocaulon bicolor	False		0.0
Adenocaulon	False		0.0
Adiantum	True	FiretrailNursery, HimaNursery, OxbowFarmandConservationCenter, 	23.08
Adonis	False		0.0
Aegilops cylindrica	False		0.0
Aegilops cylindrica var. rubiginosa	False		0.0
Aegilops tauschii	False		0.0
Cylindropyrum cylindricum	False		0.0
Triticum cylindricum	False		0.0
Aegilops	False		0.0
Aegopodium	False		0.0
Aesculus hippocastanum	False		0.0
