Taxon Name	Available at Nursery?	Nurseries	Percent of Nurseries with this Taxon	ID	ModifiedOn	Contributors	InformalClassification	Family	TaxonID	TaxonName	SeeAlso	NameRank	Hybrid	TerminalTaxon	Excluded	Peripheral	Waif	Endemic	Extirpated	OriginCode	Origin	Distribution	Voucher	Comments	
Allium nevii	False		0.0	4613	2018-05-01 10:52:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122281	Allium nevii		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Allium nigrum	False		0.0	4614	2018-08-15 09:36:00		Vascular Plants: Monocots	Amaryllidaceae	122283	Allium nigrum		species		Y	N	N	N	N	N	I	Introduced				
Alliaria petiolata	False		0.0	1462	2013-05-17 11:44:00	Peter F. Zika	Vascular Plants: Dicots	Brassicaceae	56719	Alliaria petiolata		species		Y	N	N	N	N	N	I	Introduced from Europe		{"Herbarium":"WTU"}	Collected in several localities in King Co.	
Alisma plantago-aquatica	True	WabashFarms, WatershedGardenWorks, 	8.33	4581	2017-11-27 16:51:00	Peter F. Zika	Vascular Plants: Monocots	Alismataceae	121871	Alisma plantago-aquatica	Alisma triviale	species		Y	N	N	N	N	N	I	Introduced from Eurasia		{"Herbarium":"WTU"}	Introduced to western Washington and southwest British Columbia. FNA 22: "The name Alisma plantago-aquatica has been used in a variety of North American floras. We are following, however, the treatment of I. Björkqvist (1968), in which the native distribution of A. plantago-aquatica is restricted to Eurasia."	
Alopecurus pratensis	True	HimaNursery, RainierSeeds, 	8.33	5306	2009-04-29 09:01:00	Michael Marsh, Peter F. Zika	Vascular Plants: Monocots	Poaceae	134054	Alopecurus pratensis		species		Y	N	N	N	N	N	I	Introduced from Europe		{"Herbarium":"WTU"}	FNA24: "Alopecurus pratensis is native from temperate northern Eurasia south to North Africa. It is now widely naturalized in temperate regions throughout the world. It grows in poorly to somewhat drained soils in meadows, riverbanks, lakesides, ditches, roadsides and fence rows. It has been widely introduced as a pasture grass; it may also have become established from ballast or imported hay. The earliest collections are from coastal New England; it is now known from most provinces and states."	
Alnus rhombifolia	True	FourthCornerNursery, PlantsoftheWild, WACD, WildlandsNursery, 	16.67	1311	2009-09-04 08:26:00	Thayne Tuason	Vascular Plants: Dicots	Betulaceae	55291	Alnus rhombifolia		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA3: "Alnus rhombifolia is the common alder throughout the dry Mediterranean climatic zone of coastal western United States. Mexican populations are not known, but because A . rhombifolia has been collected as far south as San Diego, California, it should be expected in adjacent Baja California.<br><br>Native Americans used various parts of Alnus rhombifolia medicinally for diarrhea, consumption, and burns, as a blood purifier, an emetic, and a wash for babies with skin diseases, and to facilitate childbirth (D. E. Moerman 1986)."	
Allium robinsonii	False		0.0	4615	2012-08-06 09:57:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122320	Allium robinsonii		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA26: "Allium robinsonii has been found along the Columbia River from Ferry County, northeastern Washington, to about the mouth of the John Day River, north-central Oregon, and is now possibly extirpated from Oregon."	
Alcea rosea	False		0.0	2904	2009-09-04 15:53:00	Fred Weinmann	Vascular Plants: Dicots	Malvaceae	92646	Alcea rosea		species		Y	N	N	N	N	N	I	Introduced		{"Herbarium":"WS"}	Not in H&C; KZ record based on personal communication with Richard Old; AJ says it reseeds from garden sources in Seattle area.	
Alnus rubra	True	BurntRidgeNursery, FourthCornerNursery, FriendlyNativesNursery, HimaNursery, InsidePassageSeeds, OxbowFarmandConservationCenter, PlantasNativaLLC, PlantsoftheWild, RainierSeeds, StormLakeGrowers, WabashFarms, WoodbrookNativePlantNursery, 	50.0	1312	2009-09-04 08:28:00	Thayne Tuason	Vascular Plants: Dicots	Betulaceae	55297	Alnus rubra		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA3: "Alnus rubra is the largest alder in North America north of Mexico; it often forms extensive stands along streams and on low-lying flood plains in the Pacific Northwest. The strongly revolute margins of its leaf blades make it easily distinguished from all of the other alders in the flora. It is an important commercial tree; the wood is used to make inexpensive furniture, small wooden items, and paper pulp.<br><br>Native Americans used various parts of plants of Alnus rubra medicinally as a purgative, an emetic, for aching bones, headaches, coughs, biliousness, stomach problems, scrofula sores, tuberculosis, asthma, and eczema, and as a general panacea (D. E. Moerman 1986)."	
Allium sativum	False		0.0	4616	2018-05-02 22:04:00	Fred Weinmann	Vascular Plants: Monocots	Amaryllidaceae	122329	Allium sativum		species		N	N	N	N	N	N	I	Introduced				
Alopecurus saccatus	False		0.0	5307	2009-04-29 09:02:00	Michael Marsh, Peter F. Zika	Vascular Plants: Monocots	Poaceae	134072	Alopecurus saccatus		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA24: "Alopecurus saccatus is a native annual that inhabits moist, open meadows, valley plains, and vernal pools at elevations below 700 m from Washington to California. Segregates have been treated as species in the past, but the variation between them appears to be continuous, and no habitat differentiation is evident."	
Allium schoenoprasum	False		0.0	4618	2012-08-06 09:57:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122331	Allium schoenoprasum		species		Y	N	N	N	N	N	B	Both native and introduced populations		{"Herbarium":"WTU"}	Taxonomy follows FNA; native races on shorelines in Washington are not easily separable from introduced (European) garden material that occasionally escapes. Characters based on plant size, tepal shape or color are unstable.<br><br>FNA26: "Allium schoenoprasum is native in North America, but it is also cultivated and has widely escaped. It is an extremely polymorphic species, and throughout its range both large and small races occur. These plants have been known as A. sibiricum, A. schoenoprasum var. sibiricum, or A. schoenoprasum var. laurentianum, and many, largely unsuccessful, attempts have been made to distinguish the varieties. Until the variation can be worked out along natural lines, if any, instead of unstable features such as plant size, and color and shape of the tepals, recognition of these varieties is unsound. Because we are unable to separate native populations from many of the escaped ones, we cannot reliably map the native distribution of this taxon in the flora."	
Allium scilloides	False		0.0	4619	2012-08-06 09:58:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122338	Allium scilloides		species		Y	N	N	N	Y	N	N	Native		{"Herbarium":"WTU"}	Endemic to WA.	
Alstroemeria	False		0.0	4594	2018-05-02 22:04:00		Vascular Plants: Monocots	Alstroemeriaceae	122045	Alstroemeria		genus		N	N	N	Y	N	N	I	Introduced				
Allium textile	False		0.0	4620	2012-08-06 09:58:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122353	Allium textile		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"Not at WTU; WS?"}	FNA26 includes WA within the range of this species, however H&C does not include WA within the range.	
Allium tolmiei	False		0.0	4621	2018-05-02 22:04:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122354	Allium tolmiei		species		N	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Allium tolmiei var. tolmiei	False		0.0	4622	2012-08-06 09:59:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122363	Allium tolmiei var. tolmiei		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA states the authority is Baker, not Baker ex S. Watson, contrary to H&C.	
Allium triquetrum	False		0.0	4623	2018-08-15 09:36:00		Vascular Plants: Monocots	Amaryllidaceae	122373	Allium triquetrum		species		Y	N	N	N	N	N	I	Introduced				
Alisma triviale	True	FourthCornerNursery, 	4.17	4582	2011-08-12 10:15:00	Peter F. Zika	Vascular Plants: Monocots	Alismataceae	121881	Alisma triviale		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	Spelling corrected from A. trivialis Pursh in FNA<br><br> Historically specimens of this species have been incorrectly assigned the name Alisma plantago-aquatica, which is a misapplied name.  A. plantago-aquatica is restricted in distribution to Eurasia, with a few introduced populations reported from Alaska.	
Allium tuberosum	False		0.0	4624	2018-08-15 09:36:00		Vascular Plants: Monocots	Amaryllidaceae	122374	Allium tuberosum		species		Y	N	N	Y	N	N	I	Introduced				
Allium ursinum	False		0.0	4625	2018-08-15 09:36:00		Vascular Plants: Monocots	Amaryllidaceae	122380	Allium ursinum		species		Y	N	N	Y	N	N	I	Introduced				
Allium validum	False		0.0	4626	2012-08-06 10:00:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122381	Allium validum		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA26: "Allium validum is a Cascade-Sierran species extending east to northeastern Nevada, eastern Oregon, and western Idaho."	
Allium vineale	False		0.0	4627	2012-08-06 10:00:00	Peter F. Zika	Vascular Plants: Monocots	Amaryllidaceae	122384	Allium vineale		species		Y	N	N	N	N	N	I	Introduced from Europe		{"Herbarium":"WTU"}	Recently collected at several sites in Seattle, King Co.<br><br>FNA26: "It is a noxious weed, apparently introduced from Europe in colonial times. The small, wheat-sized bulbils frequently contaminated wheat grown in infested areas. Bread made from such wheat was garlic-flavored, and cows grazing in infested pastures produce garlic-flavored milk."	
Allotropa virgata	False		0.0	2100	2009-11-05 17:31:00	Fred Weinmann	Vascular Plants: Dicots	Ericaceae	68295	Allotropa virgata		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Alnus viridis	True	DerbyCanyonNatives, FourthCornerNursery, OxbowFarmandConservationCenter, PlantasNativaLLC, RainierSeeds, WACD, WildlandsNursery, 	29.17	1313	2018-05-02 22:04:00	Thayne Tuason	Vascular Plants: Dicots	Betulaceae	55308	Alnus viridis		species		N	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Alnus viridis ssp. fruticosa	False		0.0	1314	2011-08-03 15:47:00	Thayne Tuason	Vascular Plants: Dicots	Betulaceae	55324	Alnus viridis ssp. fruticosa		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	Not included in H&C<br><br>FNA3: "This primarily subarctic Asian subspecies has long been mistaken in western North America for Alnus viridis subsp. crispa, which it closely resembles, or for subsp. sinuata (J. J. Furlow 1983b). It can be separated from the former by its larger and more coarsely toothed leaves, and from the latter by its much thicker, mostly single-toothed leaf blades."	
Alnus viridis ssp. sinuata	True	DerbyCanyonNatives, FourthCornerNursery, PlantasNativaLLC, WildlandsNursery, 	16.67	1315	2011-08-03 15:44:00	Thayne Tuason	Vascular Plants: Dicots	Betulaceae	55332	Alnus viridis ssp. sinuata		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA3: "Alnus viridis subsp. sinuata is one of the first successional taxa to appear in the northwestern mountains following disruption of the mature vegetation. It often forms dense thickets on avalanche and talus slopes. Sitka alder differs from the two previous subspecies in its paper-thin, light or yellowish green, doubly serrate leaves.<br><br>The Bella Coola used Alnus viridis subsp. sinuata medicinally although D. E. Moerman (1986) did not specify the nature of the remedies."	
Alyssum	True	RainierSeeds, 	4.17	1463	2018-05-02 22:04:00		Vascular Plants: Dicots	Brassicaceae	56726	Alyssum		genus		N	N	N	N	N	N	I	Introduced				
Ambrosia acanthicarpa	False		0.0	604	2007-07-31 08:00:00	Peter F. Zika	Vascular Plants: Dicots	Asteraceae	41879	Ambrosia acanthicarpa		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Amaranthus albus	False		0.0	288	2007-03-19 20:58:00	Peter F. Zika	Vascular Plants: Dicots	Amaranthaceae	36933	Amaranthus albus		species		Y	N	N	N	N	N	I	Introduced from tropical America		{"Herbarium":"WTU"}	FNA: "Amaranthus albus and A. blitoides are rather often confused in herbaria. The species are easily distinguished by their seed size and luster."	
Amelanchier alnifolia	True	DerbyCanyonNatives, DesertJewelsNursery, FourthCornerNursery, HimaNursery, InsidePassageSeeds, LandHSeeds, OxbowFarmandConservationCenter, PlantasNativaLLC, PlantsoftheWild, RainierSeeds, StormLakeGrowers, WabashFarms, WACD, WildlandsNursery, WoodbrookNativePlantNursery, 	62.5	3927	2016-02-29 10:19:00	David Giblin	Vascular Plants: Dicots	Rosaceae	109330	Amelanchier alnifolia		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	The treatment here does not follow the taxonomy proposed in FNA Rosaceae.  The extensive overlap in morphology among putative Amelanchier taxa makes writing a diagnostic key among them untenable.  At the species level, differences in ploidy level have been documented, however finding morphological traits that reliable distinguish among these species appears inconclusive at this time.	
Ambrosia artemisiifolia	False		0.0	605	2007-07-31 12:33:00	Peter F. Zika	Vascular Plants: Dicots	Asteraceae	41885	Ambrosia artemisiifolia		species		Y	N	N	N	N	N	I	Introduced		{"Herbarium":"WTU"}	FNA21: "Hybrids between Ambrosia psilostachya and A. artemisiifolia have been called A. ×intergradiens W. H. Wagner."<br><br>FNA21: "The name Ambrosia ×helenae Rouleau applies to hybrids between A. artemisiifolia and A. trifida."	
Ammophila arenaria	False		0.0	5309	2012-01-04 16:15:00	David Giblin	Vascular Plants: Monocots	Poaceae	134105	Ammophila arenaria		species		N	N	N	N	N	N	I	Introduced				
Amaranthus	False		0.0	287	2018-05-02 22:04:00		Vascular Plants: Dicots	Amaranthaceae	36924	Amaranthus		genus		N	N	N	N	N	N	N	Native				
Amaranthus blitoides	False		0.0	289	2007-03-19 21:02:00	Peter F. Zika	Vascular Plants: Dicots	Amaranthaceae	36943	Amaranthus blitoides		species		Y	N	N	N	N	N	I	Introduced from central United States		{"Herbarium":"WS"}	Often confused with Amaranthus albus L., but differentiated by seed size and luster. Taxonomy follows FNA. Amaranthus graecizans is native to the Mediterranean, and has never been found in the western United States.	
Amaranthus blitum	False		0.0	290	2008-09-15 08:43:00	Peter F. Zika	Vascular Plants: Dicots	Amaranthaceae	36945	Amaranthus blitum		species		Y	N	N	N	N	N	I	Introduced from the tropics		{"Herbarium":"WTU"}	Similar to Amaranthus viridis L. Recently collected on lakeshores in King Co. (Jacobson et al. 2001). Subspecies classification needs further research according to FNA.	
Ammophila breviligulata	False		0.0	5311	2018-05-02 22:04:00	David Giblin	Vascular Plants: Monocots	Poaceae	134118	Ammophila breviligulata		species		N	N	N	N	N	N	I	Introduced		{"Herbarium":"WTU"}		
Ambrosia	True	FourthCornerNursery, InsidePassageSeeds, RainierSeeds, 	12.5	603	2018-05-02 22:04:00		Vascular Plants: Dicots	Asteraceae	41875	Ambrosia		genus		N	N	N	N	N	N	N	Native				
Amaranthus californicus	False		0.0	291	2007-07-08 13:36:00	Peter F. Zika	Vascular Plants: Dicots	Amaranthaceae	36956	Amaranthus californicus		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Amaranthus caudatus	False		0.0	292	2018-08-15 09:36:00		Vascular Plants: Dicots	Amaranthaceae	36961	Amaranthus caudatus		species		Y	N	N	Y	N	N	I	Introduced				
Ambrosia chamissonis	True	FourthCornerNursery, InsidePassageSeeds, 	8.33	606	2007-07-31 08:10:00	Peter F. Zika	Vascular Plants: Dicots	Asteraceae	41896	Ambrosia chamissonis		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	Lumped in Jepson Manual & by Kartesz, split into var. chamissonis and var. bipinnatisecta by Chambers and Sundberg (2000).  Chambers and Sundberg (2000) note intermediates between vars. on a few sheets.	
Ammannia coccinea	False		0.0	2892	2017-09-13 08:55:00	Fred Weinmann	Vascular Plants: Dicots	Lythraceae	92285	Ammannia coccinea		species		Y	N	N	Y	N	N	I	Introduced		{"Herbarium":"WTU"}	Recently (2014) collected in King County at a restoration site where a large population is established.	
Amaranthus cruentus	False		0.0	293	2008-09-15 08:42:00	Peter F. Zika	Vascular Plants: Dicots	Amaranthaceae	36970	Amaranthus cruentus		species		Y	N	N	Y	N	N	I	Probably introduced from cultivation in Central America		{"Herbarium":"WS"}	Derived from cultivated forms of Amaranthus hybridus, and perhaps best treated as a form of that species, according to FNA.	
Amaranthus deflexus	False		0.0	294	2018-08-15 09:36:00		Vascular Plants: Dicots	Amaranthaceae	36974	Amaranthus deflexus		species		Y	N	N	Y	N	N	I	Introduced				
Amelanchier	True	DerbyCanyonNatives, DesertJewelsNursery, FourthCornerNursery, HimaNursery, InsidePassageSeeds, LandHSeeds, OxbowFarmandConservationCenter, PlantasNativaLLC, PlantsoftheWild, RainierSeeds, StormLakeGrowers, WabashFarms, WACD, WildlandsNursery, WoodbrookNativePlantNursery, 	62.5	3926	2018-05-02 22:04:00		Vascular Plants: Dicots	Rosaceae	109329	Amelanchier		genus		N	N	N	N	N	N	N	Native				
Amorpha fruticosa	False		0.0	2228	2009-12-02 08:27:00	Fred Weinmann	Vascular Plants: Dicots	Fabaceae	71391	Amorpha fruticosa		species		Y	N	N	N	N	N	I	Introduced		{"Herbarium":"WTU"}	Not in H&C.	
Amaranthus hybridus	False		0.0	295	2007-07-08 13:41:00	Peter F. Zika	Vascular Plants: Dicots	Amaranthaceae	36989	Amaranthus hybridus		species		Y	N	N	N	N	N	I	Introduced from riparian zones in eastern North America		{"Herbarium":"WTU"}	Often mistaken for Amaranthus powellii or A. retroflexus.	
Amaranthus hypochondriacus	False		0.0	296	2018-08-15 09:36:00		Vascular Plants: Dicots	Amaranthaceae	36993	Amaranthus hypochondriacus		species		Y	N	N	Y	N	N	I	Introduced				
Amelanchier laevis	False		0.0	3928	2018-08-15 09:36:00		Vascular Plants: Dicots	Rosaceae	109396	Amelanchier laevis		species		Y	N	N	Y	N	N	I	Introduced				
Amsinckia lycopsoides	False		0.0	1340	2008-10-29 08:12:00	Peter F. Zika	Vascular Plants: Dicots	Boraginaceae	55766	Amsinckia lycopsoides		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Ammannia	False		0.0	2891	2018-05-02 22:04:00		Vascular Plants: Dicots	Lythraceae	92281	Ammannia		genus		N	N	N	N	N	N	N	Native				
Amsinckia menziesii	True	NorthwestMeadowscapes, 	4.17	1341	2008-10-29 08:15:00	Peter F. Zika	Vascular Plants: Dicots	Boraginaceae	55769	Amsinckia menziesii		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	Jeps notes 100+ named variants, self-pollinated, that can grow together and remain distinct locally but intergrade elsewhere	
Amsinckia intermedia	False		0.0	1339	2008-10-29 08:13:00	Peter F. Zika	Vascular Plants: Dicots	Boraginaceae	55757	Amsinckia intermedia		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	taxonomy follows F.R. Ganders in Jeps	
Amsinckia retrorsa	False		0.0	1342	2018-08-15 09:36:00		Vascular Plants: Dicots	Boraginaceae	55775	Amsinckia retrorsa		species		Y	N	N	N	N	N	N	Native				
Ammophila	False		0.0	5308	2018-05-02 22:04:00		Vascular Plants: Monocots	Poaceae	134103	Ammophila		genus		N	N	N	N	N	N	I	Introduced				
Amorpha	False		0.0	2227	2018-05-02 22:04:00		Vascular Plants: Dicots	Fabaceae	71378	Amorpha		genus		N	N	N	N	N	N	I	Introduced				
Amaranthus powellii	False		0.0	297	2007-07-09 07:50:00	Peter F. Zika	Vascular Plants: Dicots	Amaranthaceae	37006	Amaranthus powellii		species		Y	N	N	N	N	N	I	Introduced from the southwestern United States and Mexico		{"Herbarium":"WTU"}	According to FNA, recognition of subspecies is premature (Wilkin 1992).	
Ambrosia psilostachya	False		0.0	607	2007-07-31 12:13:00	Peter F. Zika	Vascular Plants: Dicots	Asteraceae	41938	Ambrosia psilostachya		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	FNA21: "Hybrids between Ambrosia psilostachya and A. artemisiifolia have been called A. ×intergradiens W. H. Wagner."	
Amaranthus retroflexus	False		0.0	298	2007-07-09 07:52:00	Peter F. Zika	Vascular Plants: Dicots	Amaranthaceae	37012	Amaranthus retroflexus		species		Y	N	N	N	N	N	I	Introduced from eastern and central North America		{"Herbarium":"WTU"}		
Ammannia robusta	False		0.0	2893	2010-03-12 09:01:00	Fred Weinmann	Vascular Plants: Dicots	Lythraceae	92292	Ammannia robusta		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Amsinckia	True	NorthwestMeadowscapes, 	4.17	1338	2018-05-02 22:04:00		Vascular Plants: Dicots	Boraginaceae	55742	Amsinckia		genus		N	N	N	N	N	N	N	Native				
Amsinckia spectabilis	False		0.0	1343	2018-05-02 22:04:00	Peter F. Zika	Vascular Plants: Dicots	Boraginaceae	55777	Amsinckia spectabilis		species		N	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Amsinckia spectabilis var. spectabilis	False		0.0	1344	2008-10-29 08:14:00	Peter F. Zika	Vascular Plants: Dicots	Boraginaceae	55781	Amsinckia spectabilis var. spectabilis		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	A. spectabilis var. microcarpa (Greene) Jeps. & Hoover is listed as a syn. of A. spectabilis by Kz99, but the var. is a CA coastal plant, and the name is misapplied by Kz99, acc. to Jeps.	
Amsinckia tessellata	False		0.0	1345	2018-05-02 22:04:00	Peter F. Zika	Vascular Plants: Dicots	Boraginaceae	55782	Amsinckia tessellata		species		N	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Amsinckia tessellata var. tessellata	False		0.0	1346	2008-10-29 08:16:00	Peter F. Zika	Vascular Plants: Dicots	Boraginaceae	55787	Amsinckia tessellata var. tessellata		infraspecies		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Ambrosia trifida	False		0.0	608	2007-07-31 12:26:00	Peter F. Zika	Vascular Plants: Dicots	Asteraceae	41963	Ambrosia trifida		species		Y	N	N	N	N	N	I	Introduced			Split in Kz99, lumped by Chambers and Sundberg (2000).<br><br>FNA21: "The name Ambrosia ×helenae Rouleau applies to hybrids between A. artemisiifolia and A. trifida."<br><br>WTU specimens on loan, so no specimen data available as of Aug. 2007.	
Amaranthus tuberculatus	False		0.0	299	2007-07-09 07:56:00	Peter F. Zika	Vascular Plants: Dicots	Amaranthaceae	37042	Amaranthus tuberculatus		species		Y	N	N	Y	N	N	I	Introduced from the Great Plains of the central United States		{"Herbarium":"WTU"}	Reported from Klickitat Co. by KZ (Madrono 1955); reported from King Co. by Jacobson (2001). Taxonomy follows FNA.	
Amelanchier utahensis	True	FourthCornerNursery, RainierSeeds, 	8.33	3929	2014-08-29 08:30:00	David Giblin	Vascular Plants: Dicots	Rosaceae	109430	Amelanchier utahensis		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}		
Antennaria alpina	False		0.0	614	2008-12-05 15:14:00	David Giblin	Vascular Plants: Dicots	Asteraceae	42026	Antennaria alpina		species		Y	N	N	N	N	N	N	Native		{"Herbarium":"WTU"}	This species should not be confused with A. media var. alpina, which is common in alpine areas throughout Washington.  The first specimen of A. alpina deposited at WTU was collected in 2007.<br><br>FNA19:<br><br>"Excluded names:<br><br>Some Antennaria names are based on early-generation interspecific hybrids, including:<br><br>A. ×rousseaui A. E. Porsild = ? A. alpina × A. rosea<br><br>Antennaria alpina is one of the more morphologically variable agamic complexes in the genus. Some taxonomists have argued that true Antennaria alpina does not occur in North America, because none of the North American material exactly matches the type of A. alpina, which is from Lapland (M. O. Malte 1934; A. E. Porsild 1965). If one uses a strict typological species concept, then this is true; I recognize that this species complex is composed of innumerable apomictic clones and am circumscribing a broad species concept for A. alpina. The potential morphologic overlap between the A. media and A. alpina complexes is a major taxonomic problem. The chief difference between members of the two complexes is the presence of prominent flags on cauline leaves in A. alpina and their absence in A. media. Antennaria alpina of North America is gynoecious and characterized by its dark green to black phyllaries and conspicuous flags on the distal cauline leaves. The basal leaves vary from glabrous, as in the type material, to pubescent. The primary progenitors of the A. alpina complex include A. aromatica, A. densifolia, A. friesiana subsp. alaskana, A. friesiana subsp. neoalaskana, A. monocephala subsp. monocephala, and A. pulchella."	
