Abies
Abies grandis
Acer circinatum
Acer
Acer macrophyllum
Adiantum aleuticum
Adiantum
Alcea
Arbutus
Aruncus dioicus
Arbutus menziesii
Arum
Aruncus
Asarum
Asarum caudatum
Athyrium filix-femina
Athyrium
Berberis
Blechnum
Blechnum spicant
Scirpus maritimus
Carex
Carex amplifolia
Carex leptopoda
Carex pachystachya
Carex unilateralis
Ceanothus
Ceanothus sanguineus
Ceanothus velutinus
Cornus
Corylus cornuta
Corylus
Cornus sericea
Crataegus
Crataegus douglasii
Dicentra
Dicentra formosa
Douglasia
Dryopteris
Dryopteris dilatata
Eleocharis
Eleocharis palustris
Erigeron
Eria
Erigeron speciosus
Fragaria
Frangula
Fraxinus
Fragaria chiloensis
Fraxinus latifolia
Frangula purshiana
Garrya
Gaultheria shallon
Gaultheria
Geum
Geum macrophyllum
Iris douglasiana
Iris
Iris tenax
Iva
Juncus
Juncus balticus
Juncus ensifolius
Juncus tenuis
Lens
Lonicera
Lonicera involucrata
Mahonia aquifolium
Mahonia
Mimulus
Mimulus guttatus
Oemleria cerasiformis
Oemleria
Osmorhiza chilensis
Osmorhiza
Physocarpus capitatus
Philadelphus
Philadelphus lewisii
Physocarpus
Pinus
Pinus contorta
Populus
Populus balsamifera
Polystichum
Polystichum munitum
Pseudotsuga
Pseudotsuga menziesii
Pteris
Purshia
Quercus
Quercus garryana
Ranunculus
Ranunculus uncinatus
Ribes
Ribes bracteosum
Ribes divaricatum
Rosa
Rosa gymnocarpa
Rosa nutkana
Rosa pisocarpa
Rubus
Rubus par
Rubus parviflorus
Sambucus
Sambucus racemosa
Schoenoplectus
Scirpus
Schoenoplectus tabernaemontani
Sida
Sidalcea
Sidalcea hendersonii
Symphoricarpos albus
Symphoricarpos
Tellima grandiflora
Tellima
Thuja plicata
Thuja
Tsuga
Vancouveria hexandra
Vancouveria
Viola adunca
Viola

