Achillea
Achillea millefolium
Agastache
Agrostis exarata
Agrostis
Agastache urticifolia
Allium cernuum
Allium
Amsinckia menziesii
Amsinckia
Anaphalis
Anaphalis margaritacea
Aquilegia formosa
Aquilegia
Armeria maritima
Armeria
Astragalus canadensis
Asclepias
Asclepias speciosa
Aster
Astragalus
Balsamorhiza
Balsamorhiza sagittata
Brodiaea coronaria
Brodiaea
Carex
Camassia leichtlinii
Camassia
Castilleja miniata
Carex obnupta
Carex pachystachya
Castilleja
Camassia quamash
Chamaenerion angustifolium
Clarkia amoena
Clarkia
Clarkia purpurea
Clarkia rhomboidea
Peritoma serrulata
Collinsia grandiflora
Collomia grandiflora
Collinsia
Collomia
Deschampsia cespitosa
Deschampsia
Dichelostemma
Dichelostemma congestum
Downingia elegans
Downingia
Elymus
Eleocharis
Elymus glaucus
Eleocharis palustris
Epilobium densiflorum
Epilobium
Erigeron
Eriophyllum
Eriophyllum lanatum
Erigeron speciosus
Erythranthe
Solidago
Festuca idahoensis
Festuca rubra
Festuca
Fritillaria affinis
Fritillaria
Gentiana
Gentiana sceptrum
Gilia capitata
Gilia
Grindelia integrifolia
Grindelia
Helenium autumnale
Helenium
Heracleum maximum
Heracleum
Hordeum brachyantherum
Hordeum
Iris
Iris missouriensis
Iris tenax
Juncus
Juncus bufonius
Limnanthes alba
Limnanthes douglasii
Linum lewisii
Limnanthes
Linum
Lomatium
Lomatium nudicaule
Lomatium utriculatum
Lupinus bicolor
Lupinus
Lupinus polyphyllus
Lupinus rivularis
Madia
Madia elegans
Mentha arvensis
Mentha
Olsynium douglasii
Olsynium
Petasites frigidus
Perideridia gairdneri
Perideridia
Petasites
Phacelia
Phacelia linearis
Phacelia nemoralis
Phacelia tanacetifolia
Plagiobothrys
Plectritis congesta
Plectritis
Plagiobothrys figuratus
Potentilla gracilis
Potentilla
Prunella
Prunella vulgaris
Quercus
Quercus garryana
Ranunculus
Ranunculus occidentalis
Rhinanthus
Rhinanthus minor
Rudbeckia
Rudbeckia occidentalis
Sanguisorba annua
Sagittaria
Sagittaria latifolia
Sanguisorba
Scrophularia californica
Schoenoplectus
Scrophularia californica var. oregana
Scrophularia
Schoenoplectus tabernaemontani
Sidalcea campestris
Sida
Sidalcea
Sidalcea hendersonii
Sisyrinchium idahoense
Sidalcea malviflora
Sisyrinchium
Solidago canadensis
Stachys
Stachys cooleyae
Symphyotrichum
Symphyotrichum subspicatum
Tellima grandiflora
Tellima
Triantha
Trifolium
Triantha occidentalis
Trifolium willdenovii
Trifolium wormskioldii
Wyethia angustifolia
Wyethia

