“DF” – Douglas Fir (Pseudotsuga Menziesii)
“WH” – Western Hemlock (Tsuga Heterophylla)
“WC” – Western Red Cedar (Thuja Plicata)
“NF” – Noble Fir (Abies Procera)
“VPP” -Valley Ponderosa Pine
