Heracleum
Heracleum maximum
Lomatium
Lomatium nudicaule
Lomatium utriculatum
Perideridia
Asclepias
Asclepias speciosa
Achillea
Achillea millefolium
Anaphalis
Anaphalis margaritacea
Balsamorhiza
Balsamorhiza sagittata
Erigeron
Erigeron speciosus
Eriophyllum
Eriophyllum lanatum
Grindelia
Grindelia integrifolia
Helenium
Helenium autumnale
Madia
Madia elegans
Petasites
Petasites frigidus
Rudbeckia
Rudbeckia occidentalis
Solidago
Symphyotrichum
Symphyotrichum subspicatum
Wyethia
Wyethia angustifolia
Amsinckia
Amsinckia menziesii
Downingia
Downingia elegans
Peritoma
Peritoma serrulata
Astragalus
Astragalus canadensis
Lupinus
Lupinus bicolor
Lupinus polyphyllus
Lupinus rivularis
Trifolium
Trifolium willdenovii
Trifolium wormskioldii
Quercus
Quercus garryana
Gentiana
Gentiana sceptrum
Phacelia
Phacelia linearis
Phacelia nemoralis
Agastache
Agastache urticifolia
Mentha
Prunella
Prunella vulgaris
Stachys
Stachys cooleyae
Limnanthes
Limnanthes alba
Limnanthes douglasii
Linum
Linum lewisii
Sidalcea
Sidalcea campestris
Sidalcea hendersonii
Chamaenerion
Chamaenerion angustifolium
Clarkia
Clarkia amoena
Clarkia purpurea
Clarkia rhomboidea
Epilobium
Epilobium densiflorum
Castilleja
Castilleja miniata
Rhinanthus
Rhinanthus minor
Erythranthe
Erythranthe guttata
Collinsia
Collinsia grandiflora
Armeria
Armeria maritima
Collomia
Collomia grandiflora
Gilia
Gilia capitata
Aquilegia
Aquilegia formosa
Ranunculus
Ranunculus occidentalis
Potentilla
Potentilla gracilis
Sanguisorba
Tellima
Tellima grandiflora
Scrophularia
Scrophularia californica
Plectritis
Plectritis congesta
Sagittaria
Sagittaria latifolia
Allium
Allium cernuum
Brodiaea
Brodiaea coronaria
Camassia
Camassia leichtlinii
Camassia quamash
Dichelostemma
Dichelostemma congestum
Carex
Carex obnupta
Carex pachystachya
Eleocharis
Eleocharis palustris
Schoenoplectus
Schoenoplectus tabernaemontani
Iris
Iris missouriensis
Iris tenax
Olsynium
Olsynium douglasii
Sisyrinchium
Sisyrinchium idahoense
Juncus
Juncus bufonius
Fritillaria
Fritillaria affinis
Agrostis
Agrostis exarata
Deschampsia
Deschampsia cespitosa
Elymus
Elymus glaucus
Festuca
Festuca idahoensis
Festuca rubra
Hordeum
Hordeum brachyantherum
Triantha
Triantha occidentalis
