Sanguisorba minor
Sanguisorba
Sambucus nigra
Sambucus nigra ssp. cerulea
Sambucus racemosa
Schoenoplectus acutus
Schoenoplectus acutus var. acutus
Schoenoplectus americanus
Festuca arundinacea
Schoenoplectus
Scirpus
Scirpus microcarpus
Festuca pratensis
Schoenoplectus pungens
Schoenoplectus tabernaemontani
Secale
Setaria italica
Setaria
Shepherdia canadensis
Shepherdia
Sinapis alba
Sisyrinchium bellum
Sinapis
Sisyrinchium
Sorghum
Sporobolus airoides
Sporobolus
Sphaeralcea coccinea
Sporobolus cryptandrus
Sphaeralcea grossulariifolia
Sphaeralcea
Sphaeralcea munroana
Symphoricarpos albus
Symphyotrichum
Symphoricarpos
Symphyotrichum chilense
Symphyotrichum laeve
Symphoricarpos oreophilus
Thinopyrum intermedium
Thinopyrum intermedium ssp. barbulatum
Thinopyrum
Thinopyrum ponticum
Triticum aestivum
Trifolium alexandrinum
Trifolium hybridum
Trifolium
Trifolium incarnatum
Trisetum
Triticum
Trifolium michelianum
Trifolium pratense
Trifolium repens
Trisetum spicatum
Verbena hastata
Vicia americana
Vicia
Vicia villosa
Vulpia
Vulpia microstachys
Vulpia octoflora
Wyethia amplexicaulis
Wyethia
Wyethia mollis

