WOODY SPECIES
Abies grandis grand fir 1.50$ 2.50$ 3.50$
Acer circinatum vine maple 1.50$ 2.50$ 3.75$
Acer glabrum Douglas maple 1.50$ 2.50$ 3.75$
Acer macrophyllum big leaf maple 0.25$ 3.50$
Alnus rubra red alder 1.25$ 2.50$ 3.25$
Alnus viridis ssp sinuata Sitka alder 1.25$ 2.50$
Amelanchier alnifolia serviceberry 1.50$ 2.50$ 3.75$
Arbutus menziesii pacific madrona 1.60$ 3.50$
Arctostaphylos uva-ursi kinnickinnick 1.50$ 4.25$
"Ceanothus velutinus mountain balm, snowbrush 1.75$ 3.00$ 4.50$"
Cornus nuttallii pacific dogwood 1.75$ 3.00$ 4.50$
Cornus stolonifera (sericea) red-osier dogwood 1.25$ 3.25$
Corylus cornuta beaked hazel 1.50$ 2.50$ 4.00$
Crataegus douglasii black hawthorn 1.50$ 2.50$ 3.50$
Frangula purshiana cascara 1.50$ 2.50$ 3.50$
Gaultheria shallon salal 1.60$ 4.25$
Holodiscus discolor oceanspray 1.50$ 2.50$ 3.50$
Lonicera ciliosa orange honeysuckle 3.25$
Lonicera hispidula hairy honeysuckle 3.25$
Lonicera involucrata twinberry 1.50$ 2.50$ 3.50$
Mahonia (Berberis) aquifolium tall Oregon grape 1.75$ 4.25$
Mahonia (Berberis) nervosa low Oregon grape 1.75$ 4.25$
Malus fusca pacific crabapple 1.50$ 2.50$ 3.50$
Myrica gale sweet gale 1.75$ 3.00$ 4.50$
Oemleria cerasiformis indian plum 1.50$ 2.50$ 3.50$
Oplopanax horridus devil's club 3.00$ 6.00$
Philadelphus lewisii mock orange 1.50$ 2.50$ 3.75$
Physocarpus capitatus pacific ninebark 1.25$ 3.25$
Picea sitchensis sitka spruce 1.50$ 2.50$ 3.50$
Pinus contorta shore pine 1.50$ 2.50$ 3.50$
Populus trichocarpa black cottonwood 2.50$ 3.25$
Prunus emarginata bitter cherry 1.50$ 2.50$ 4.00$
Pseudotsuga menziesii Douglas-fir 1.50$ 2.50$ 3.50$
Quercus garryana Garry oak 1.75$ 3.00$
Rhododendron macrophyllum pacific rhododendron 1.75$ 3.50$
Ribes bracteosum stink currant 1.50$ 3.75$
Ribes lacustre black gooseberry 1.50$ 3.75$
Ribes sanguineum red-flowering currant 1.50$ 4.00$
Rosa gymnocarpa bald-hip rose 1.50$ 2.50$ 3.50$
Rosa nutkana Nootka rose 1.50$ 2.50$ 3.50$
Rosa pisocarpa swamp rose 1.50$ 2.50$ 3.50$
Rubus leucodermis blackcap raspberry 1.50$ 3.50$
Rubus nutkanus (parviflorus) thimbleberry 1.50$ 3.50$
Rubus spectabilis salmonberry 1.25$ 3.25$
Rubus ursinus dewberry 1.50$ 3.50$
Salix lasiandra (lucida) pacific willow 1.25$ 3.25$
Salix sitchensis sitka willow 1.25$ 3.25$
Sambucus racemosa red elderberry 1.50$ 2.50$ 3.75$
"Shepherdia canadensis russett buffalo-berry, soapberry 1.75$ 3.00$ 4.50$"
Sorbus sitchensis Sitka mountain-ash 1.75$ 3.00$ 4.50$
Spiraea douglasii hardhack 1.50$ 2.50$ 3.50$
Symphoricarpos albus snowberry 1.50$ 3.50$
Thuja plicata western red cedar 1.50$ 2.50$ 3.50$
Tsuga heterophylla western hemlock 1.50$ 2.50$ 3.50$
Tsuga mertensiana mountain hemlock 1.50$ 3.00$ 4.00$
Vaccinium membranaceum black huckleberry 1.60$ 3.50$
